Source;Target
J1LE;FTY9
J1LE;L0KX
J1LE;Y6B7
J1LE;WTDS
J1LE;WTSC
SIKQ;E4GF
SIKQ;KABK
SIKQ;IOWJ
SIKQ;V6L9
SIKQ;XPNU
SIKQ;L7VY
SIKQ;M6NZ
SIKQ;YGIQ
SIKQ;Y2YD
SIKQ;UTOI
SIKQ;CISL
SIKQ;F7EI
SIKQ;WTDS
UUJF;VCLQ
UUJF;IZVL
VNW1;Y2YD
W4H8;LNK6
W4H8;L0KX
W4H8;EUHD
W4H8;EBKL
KABR;XNMU
KABR;WNYM
KABR;ZFLU
TCC8;I7CE
TCC8;ENQ5
TCC8;R2NC
TCC8;XJD3
TCC8;V6L9
OGOO;YHOL
RMV4;XNMU
RMV4;L7VY
T0HS;BTPI
T0HS;O1RE
T0HS;HSWY
T0HS;S9GS
T0HS;UDVS
T0HS;NJPO
T0HS;CSN0
DYAE;I7CE
KZNO;S9GS
KZNO;BTPI
KZNO;HSWY
PYSJ;WTDS
PYSJ;NKWI
PYSJ;FVCR
WUP8;H6ZS
R1PL;ENQ5
R1PL;R2NC
R1PL;XJD3
XVLJ;I0CI
XVLJ;LYY2
UVY0;WNHY
UVY0;C3R8
UVY0;ABWX
DZSG;UFDS
ERPZ;LJLL
ERPZ;RYKG
RTW2;ZKFN
EOCD;LYJD
AHUA;Q2AR
AHUA;XJD3
AHUA;X5RZ
VJXU;D7P5
QPCR;UFDS
RBLE;X0VH
RBLE;I0CI
NSWM;Y2YD
NSWM;CISL
NSWM;C2GK
NSWM;CUDJ
NSWM;C9G4
X0VH;I0CI
O1RE;HSWY
O1RE;NJPO
O1RE;BTPI
O1RE;UDVS
O1RE;S9GS
IPA0;HSWY
IPA0;S9GS
IPA0;BTPI
X0KE;UTOI
X0KE;VJG6
VCLQ;VDSY
VCLQ;UBA0
VCLQ;IZVL
ZDKT;PJYE
ZDKT;BJUM
C0MM;QOH8
C0MM;SWEN
X0QH;ANOD
X0QH;VDSY
X0QH;LZZT
BTPI;S9GS
BTPI;HSWY
BTPI;UDVS
BTPI;NJPO
BTPI;CSN0
VEUD;BOHD
VEUD;NRRK
VEUD;Y2YD
VEUD;HPF4
VEUD;ZFLU
VEUD;JKMG
VEUD;D7P5
ONYP;V6L9
NCMU;RHAJ
NCMU;M4Y3
NCMU;W1O7
NCMU;HDOZ
NCMU;S9GS
NCMU;P4A1
NCMU;JIP0
S6UL;CISL
S6UL;Y2YD
S6UL;DEWB
IZVL;QJVZ
IZVL;C8M3
IZVL;WMVD
LYJD;I9I7
LYJD;M7XD
WFWH;FBQJ
WFWH;M7XD
WFWH;CIJ3
WFWH;V9G5
WFWH;S8VC
WFWH;FPU2
WFWH;MFGP
LZZT;CISL
Y2YD;TOJY
Y2YD;HPF4
Y2YD;CISL
Y2YD;X5MB
LEE1;H6ZS
LEE1;YRL3
C2GK;CISL
C2GK;C9G4
CISL;KABK
CISL;TOJY
CISL;IOWJ
CISL;V6L9
CISL;BVAM
CISL;XNMU
CISL;L7VY
CISL;E4GF
CISL;HPF4
CISL;RSOM
CISL;M6NZ
CISL;C9G4
ABWX;R9N9
ABWX;PEVK
ABWX;WNHY
ABWX;C3R8
C4OY;I7CE
C4OY;XJD3
C4OY;ENQ5
C4OY;I2P5
S8VC;XJD3
HKB0;C8M3
QJVZ;C8M3
GYZO;JKMG
R9N9;Y4LJ
TTCP;CCIB
WNYM;ZFLU
WNYM;WIPE
WNYM;H9BL
WNYM;UITG
OTKN;LJLL
OTKN;WTDS
OTKN;P8KK
OTKN;A1RT
OTKN;N0WX
OTKN;WQJN
M7XD;I9I7
M7XD;MFGP
M7XD;CIJ3
M7XD;FBQJ
M7XD;V9G5
WQJN;A1RT
WQJN;JZZK
WQJN;UALW
WQJN;LJLL
WQJN;N0WX
WQJN;WTDS
JZZK;LJLL
JZZK;A1RT
JZZK;N0WX
JZZK;WTDS
N1ML;VSSH
N1ML;I7CE
N1ML;XJD3
YRL3;RMPT
YRL3;H6ZS
YRL3;XPNU
RSOM;JCBK
LQQ1;CUDJ
LQQ1;U6Z7
ZKFN;YGIQ
RMPT;H6ZS
KABK;L7VY
XJIS;OIFB
XJIS;BVAM
VSSH;XJD3
P4A1;RHAJ
P4A1;JIP0
P4A1;W1O7
P4A1;M4Y3
P4A1;S9GS
P4A1;HDOZ
F7EI;M6NZ
EBKL;LNK6
EBKL;EUHD
EBKL;L0KX
C3R8;FVCR
C3R8;WNHY
