Source;Target
NGJT;Z4J5
NGJT;ENJ8
NGJT;BYP4
NGJT;P6VY
NGJT;OSWD
MLEQ;USB8
MLEQ;U7PA
MLEQ;DYHM
TSPF;RBMP
TSPF;USB8
TSPF;J1N1
D6Z5;USB8
ZGR4;ZUM8
DDA3;ZUM8
R0R1;GHT9
R0R1;V8UL
R0R1;GQLS
R0R1;HMVW
R0R1;ACXL
R0R1;RJST
R0R1;XZV3
R0R1;WCJL
VCHF;QRWA
W8FN;BYP4
W8FN;XZV3
MKQH;USB8
KJAG;BRXL
KJAG;BYP4
KJAG;JUXA
KJAG;SGUQ
KJAG;HVT8
KJAG;JJT5
KJAG;X1ZQ
KJAG;ZDT4
KJAG;BBQU
KJAG;POF2
KJAG;MXLH
KJAG;VSV1
KJAG;B9Q8
KJAG;K4BL
KJAG;S5VQ
KJAG;U6AK
KJAG;MZLF
P6VY;ZUM8
P6VY;ENJ8
U7PA;DYHM
QRWA;RBMP
QRWA;M9YE
QRWA;XZV3
QRWA;USB8
QRWA;GRNU
EPD9;XZV3
WCJL;V8UL
WCJL;UJTK
WCJL;GQLS
WCJL;GHT9
WCJL;TNSG
WCJL;HMVW
WCJL;XZV3
EEYN;FVYD
EEYN;USB8
EEYN;IEEU
RBMP;USB8
SGUQ;B9Q8
SGUQ;MXLH
SGUQ;BYP4
SGUQ;U6AK
SGUQ;K4BL
SGUQ;MZLF
BYP4;P2P3
BYP4;MZLF
BYP4;MXLH
BYP4;U6AK
BYP4;JUXA
BYP4;POF2
BYP4;XZV3
BYP4;K4BL
BYP4;B9Q8
VSV1;HVT8
VSV1;S5VQ
VSV1;ZDT4
VSV1;BBQU
VSV1;X1ZQ
VSV1;JJT5
V6A4;K7L1
V6A4;ZGXP
K7L1;ZGXP
BBQU;ZDT4
BBQU;S5VQ
BBQU;HVT8
BBQU;X1ZQ
BBQU;JJT5
DZTV;XZV3
D0JP;XZV3
D0JP;DLQZ
D0JP;LOZQ
D0JP;TLBT
TNSG;U9TM
TNSG;XZV3
TNSG;UEBK
TNSG;GQLS
TNSG;GHT9
TNSG;S6KP
TNSG;V8UL
TNSG;HMVW
S0K4;LFT1
S0K4;U3AU
S0K4;ZGXP
S0K4;Q4K8
S0K4;XMSW
S0K4;BMBJ
S0K4;WOR0
S0K4;EABV
LFT1;Q4K8
LFT1;EABV
LFT1;ZGXP
LFT1;U3AU
RDFC;OSL6
RDFC;USB8
MXLH;MZLF
MXLH;U6AK
MXLH;B9Q8
MXLH;JUXA
MXLH;K4BL
MXLH;P2P3
MXLH;POF2
QDRJ;XZV3
CYPT;U9TM
S5VQ;JJT5
S5VQ;HVT8
S5VQ;X1ZQ
S5VQ;ZDT4
MZLF;POF2
MZLF;JUXA
MZLF;B9Q8
MZLF;K4BL
MZLF;U6AK
ZUM8;K4I0
ZUM8;SZTP
ZUM8;ENJ8
GRNU;USB8
I8JZ;USB8
XMSW;BMBJ
XMSW;WOR0
UEBK;S6KP
JJT5;X1ZQ
JJT5;HVT8
JJT5;ZDT4
EABV;Q4K8
EABV;U3AU
EABV;ZGXP
GHT9;UJTK
GHT9;GQLS
GHT9;V8UL
GHT9;HMVW
GHT9;XZV3
Z4J5;OSWD
RJST;XZV3
U3AU;ZGXP
U3AU;Q4K8
P2P3;U6AK
P2P3;POF2
P2P3;K4BL
TYS8;XZV3
DZTE;PAP0
GQLS;XZV3
GQLS;HMVW
GQLS;PAP0
GQLS;V8UL
GQLS;UJTK
ZDT4;X1ZQ
ZDT4;HVT8
JUXA;B9Q8
JUXA;POF2
ACXL;TZN3
ACXL;XZV3
HVT8;X1ZQ
V8UL;XZV3
V8UL;HMVW
V8UL;UJTK
K4I0;SZTP
M9YE;XZV3
HMVW;XZV3
HMVW;UJTK
IEEU;FVYD
BRXL;XZV3
UJTK;XZV3
WOR0;BMBJ
POF2;K4BL
POF2;U6AK
POF2;B9Q8
BMBJ;USB8
B9Q8;U6AK
T3BI;XZV3
Z8L6;USB8
USB8;FVYD
USB8;ASNP
Q4K8;ZGXP
XZV3;ZKGA
XZV3;TZN3
