Source;Target
BUM3;UFYW
UXRJ;B8W2
UXRJ;OZO6
UXRJ;GWYA
UXRJ;KKFH
UXRJ;SHSS
UXRJ;XONO
G1TW;GWWU
G1TW;BNVP
HGSA;M6HI
HGSA;R5W3
HGSA;L0BM
HGSA;RMMJ
HGSA;Q7R7
HGSA;YFBY
PRXW;BPT9
PRXW;DZVS
PRXW;YJBW
PRXW;P1B0
QPX2;IHFX
QPX2;GVL0
QPX2;FEB0
QPX2;B7RG
QPX2;K7Z2
QPX2;BKD7
QPX2;IYS3
QPX2;H7YT
L6EP;HCVP
TOMD;C8WL
TOMD;Z4O3
TOMD;ONTA
TOMD;YAHQ
RTL1;IKLU
RTL1;L4I8
RTL1;S0AG
RTL1;OGRH
RTL1;HCVP
RTL1;XUAS
RTL1;SGZ4
RTL1;KUHW
V1A5;GZS0
V1A5;DSR4
V1A5;IFMS
V1A5;NNH6
FCK8;Z8WR
FCK8;MRRM
RYC5;DNJ6
RYC5;RDW8
RYC5;XVFG
RYC5;JNYX
RYC5;CZXI
RYC5;NVJM
RYC5;W5VS
RYC5;COUR
RYC5;XBUE
RYC5;PEJC
RYC5;WNB2
RYC5;NRZZ
KGCB;L1DK
KGCB;JHBL
KGCB;CMSS
KGCB;YJYB
Z0KD;Y6MG
Z0KD;CDYQ
Z0KD;H9AT
Z0KD;L0RY
UTC9;ZBHC
UTC9;G0KC
UTC9;ULOB
UTC9;OKZW
UTC9;NSF9
RKW5;JDDN
N8X5;O4LV
N8X5;B4V3
HAYO;HACZ
WLXI;DQOV
WLXI;F1SA
WLXI;BCFO
WLXI;YEHO
CRNX;MOCK
CRNX;FUU0
CRNX;WEF9
CRNX;O8UB
CRNX;GZS0
JJW3;AZGW
JJW3;IMHL
JJW3;I5WJ
JJW3;X6FV
WACU;VUBK
H5G2;UKYY
RJDC;XAAM
RJDC;ZRUM
X0UI;N8WD
X0UI;N2XI
VZI2;G6YC
VZI2;JSRU
MEWG;BKBF
FXLG;A9R3
FXLG;PIRB
FXLG;U3CR
FXLG;CCW7
FXLG;VSIS
CQCD;LTGU
CQCD;H5GB
CQCD;H4RA
CQCD;WQPN
CQCD;EAKD
CQCD;ECRR
CMD3;IVUL
CMD3;DXZP
CMD3;QAU3
CMD3;HQHB
CDW7;UYP2
QIUY;FSAR
QIUY;SVOR
QIUY;INPD
SLNT;J4PC
SLNT;JLXO
GEQS;EHKM
GEQS;MVSQ
GEQS;O9QQ
GEQS;E3SD
GEQS;VLO6
GEQS;AOGK
JZGD;B3N2
JZGD;KBW9
WVZI;CYGP
WVZI;R6ET
WVZI;NSF3
WVZI;L0BM
SXOM;RDAI
SXOM;MAN2
SXOM;QOIJ
LCCR;BEG6
LCCR;AALZ
K5IW;VCF5
K5IW;GASN
K5IW;J5WG
X3MT;NCAN
X3MT;YJI0
ZOVN;APEF
ZOVN;QVQ2
BPT9;DZVS
BPT9;P1B0
BPT9;JZPT
BPT9;FUHW
BPT9;ODLW
BPT9;S8H7
BPT9;B8SB
BPT9;N9BJ
