Source;Target
ENJ1;BJAY
ENJ1;GHH8
ENJ1;KSKQ
ENJ1;PARL
ENJ1;AMOB
XGLT;GQPF
VYAV;C5DB
VYAV;ZIV5
VYAV;ZSS7
VYAV;NMKX
FHYQ;WUF8
SUN5;C9MG
SUN5;UVAS
SUN5;LJKE
SUN5;YXOC
SUN5;I4OR
SUN5;W2XE
SUN5;NYLF
SUN5;AMOB
SUN5;G0WX
NMKX;AMOB
NMKX;G2BJ
NMKX;ZIV5
NMKX;RQGM
NMKX;ZSS7
QQV1;WUF8
QQV1;G3ZD
YTB3;YXOC
W4D4;NOK0
W4D4;C4T2
W4D4;EUID
W1PP;RRBM
C9MG;YXOC
C9MG;AMOB
C9MG;LJKE
C9MG;UVAS
TVTK;APIH
G0NU;RPUY
G0NU;IBVK
G0NU;WUF8
G0NU;C3VJ
G0NU;GIB6
G0NU;H2GJ
C8QI;GQPF
C8QI;AVX8
RRBM;ZRLW
RRBM;ZNUJ
S8C7;JIYK
S8C7;T2T7
LUID;GQPF
HBUC;IPPL
EUID;WUF8
DLVB;B0YT
DLVB;THJH
RPUY;ZSS7
RPUY;APIH
GRCY;BMZI
GRCY;ZSS7
GHH8;BJAY
GHH8;PARL
GHH8;AMOB
GHH8;KSKQ
THJH;B0YT
GQPF;CBZH
GQPF;B0YT
MHWE;JIYK
NOK0;IPPL
NOK0;C4T2
STDU;IAHA
STDU;ZSS7
VXQN;GSJJ
VXQN;H7JT
VXQN;XOL9
VXQN;ZNUJ
VXQN;ZRLW
VXQN;V8ED
VXQN;U9JQ
VADB;IBVK
VADB;APIH
VADB;WUF8
IBVK;WUF8
ZRLW;U9JQ
ZRLW;GSJJ
ZRLW;FQAE
ZRLW;G4NU
ZRLW;ZNUJ
ZRLW;IIYA
ZRLW;V8ED
G3ZD;WUF8
X5HQ;IIYA
X5HQ;PYFV
C5DB;ZSS7
ZGGE;GSJJ
ZGGE;F7X8
IPPL;C4T2
F7X8;GSJJ
P7JF;APIH
FDR3;WUF8
G4NU;ZNUJ
G4NU;H7JT
H7JT;GSJJ
H7JT;ZNUJ
H7JT;U9JQ
H7JT;V8ED
H7JT;FQAE
ZIV5;AMOB
ZIV5;G2BJ
ZIV5;ZSS7
ZIV5;IJY3
ZIV5;RQGM
G2BJ;AMOB
G2BJ;RQGM
G2BJ;ZSS7
AMOB;PARL
AMOB;YXOC
AMOB;RQGM
AMOB;IJY3
AMOB;BJAY
AMOB;ZSS7
AMOB;LJKE
AMOB;UVAS
AMOB;NYLF
AMOB;KSKQ
GSJJ;ZNUJ
GSJJ;V8ED
GSJJ;FQAE
NYLF;YXOC
P3EI;AVX8
P3EI;IIYA
IJY3;ZSS7
V8ED;ZNUJ
V8ED;FQAE
BMZI;ZSS7
LJKE;YXOC
LJKE;UVAS
YSXB;IIYA
Q0H1;WUF8
ZNUJ;NRIN
ZNUJ;U9JQ
ZNUJ;FQAE
K2YH;JIYK
K2YH;DNL6
ZSS7;IIYA
ZSS7;RQGM
NEN9;JIYK
UVAS;YXOC
YXOC;W2XE
FQAE;U9JQ
KGPY;WUF8
PYFV;IIYA
PARL;BJAY
PARL;KSKQ
JIYK;AVX8
ECJ4;IIYA
AVX8;B0YT
MWMI;XOL9
BJAY;KSKQ
